stage_id,title,year,venue,doi,arxiv_id,openalex_id,provisional_class,status,pdf_path,txt_path,chars,source_url,method,note
S0002,ResQConnect: Agentic AI for Human-Centered Disaster Response Systems,2025,2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),10.1109/slaai-icai68534.2025.11318466,,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0002.txt,30624,,nan+manual_drop,"error: expected string or bytes-like object, got 'float'"
S0005,A LLM-Based Platform for Flood Risk Education and Weather Alerts in SIDS,2024,"2024 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",10.1109/ictmod63116.2024.10878134,,,INCLUDE_partial_AC,pdf_ok,,,0,http://hdl.handle.net/11244/1289,openalex_title_search,"error: expected string or bytes-like object, got 'float'"
S0029,Multi-UAV Trajectory Planning for Dynamic Target Search: An LLM-Enhanced Multi-Agent Reinforcement Learning Algorithm,2026,IEEE Transactions on Cognitive Communications and Networking,10.1109/tccn.2026.3710519,,,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0029.txt,81400,,nan+manual_drop,"error: expected string or bytes-like object, got 'float'"
S0043,Risk Is Not the Target: A Monotonic Framework for Evaluating Wildfire Operational Risk Signals,2026,"2026 IEEE 50th Annual Computers, Software, and Applications Conference (COMPSAC)",10.1109/compsac69091.2026.00104,,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0043.txt,53496,https://arxiv.org/pdf/2607.21597,openalex_title_search,"error: expected string or bytes-like object, got 'float'"
S0054,LLM-Enhanced Generative Semantic Communication and DRL Resource Management for UAV-Assisted Emergency Response,2026,IEEE Transactions on Vehicular Technology,10.1109/tvt.2026.3717035,,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0054.txt,106805,,nan+manual_drop,"error: expected string or bytes-like object, got 'float'"
S0093,A multimodal Question Answering system using Language Models for accessing disaster related queries of Assam,2026,2026 IEEE Guwahati Subsection Conference (GCON),10.1109/gcon69192.2026.11648987,,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0093.txt,30763,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S0097,Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response,2026,2026 34th Signal Processing and Communications Applications Conference (SIU),10.1109/siu71813.2026.11636756,,,INCLUDE_partial_AC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0097.txt,20514,,nan+manual_drop,"error: expected string or bytes-like object, got 'float'"
S0363,Active Retrieval-Augmented Generation with Conflict-Fused Uncertainty Quantification,2026,Www 2026 Proceedings of the ACM Web Conference 2026,,,,INCLUDE_partial_BC_PENDING,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0363.txt,24235,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
S0447,ResQConnect: An AI-Powered Multi-Agentic Platform for Human-Centered and Resilient Disaster Response,2026,"Sustainability Switzerland , 18(2), 1014",,,,INCLUDE_full_ABC,duplicate,,,0,,,duplicate of S0002 (50-page extended version); S0002 retained
S0460,Edge-RAG over Bluetooth Mesh: A Multi-User Retrieval-Augmented LLM with Offline Connectivity for Mobile Chatbots,2026,"Procedia Computer Science , 283",,,,INCLUDE_full_ABC,pdf_ok,,/content/drive/MyDrive/FYP_Disaster_Guidance_Review/03_fulltext/txt/S0460.txt,43645,,nan+manual_drop,"veto: wrong paper (J2b human, all 14 rejected)"
