Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Aegis Agent Framework: Proactive Fall Detection and Response using a Multi-Agent System,N. D. Tran; V. T. Hoang; V. -T. Le,"Computer Science and Engineering, FPT University, Ho Chi Minh City, Vietnam; Faculty of Information Technology, Ho Chi Minh City Open University, Ho Chi Minh City, Vietnam; Faculty of Information Technology, Ho Chi Minh City Open University, Ho Chi Minh City, Vietnam",2025 RIVF International Conference on Computing and Communication Technologies (RIVF),3 Feb 2026,2025,,,1274,1279,2473-0130,979-8-3315-7790-2,10.1109/RIVF68649.2025.11365221,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11365221,fall detection;multi-agent systems;pose estimation;emergency response;home safety;small language models,Fault tolerance;Computational modeling;Pose estimation;Fault tolerant systems;Emergency services;Real-time systems;Fall detection;Monitoring;Standards;Multi-agent systems,,,,24.0,IEEE,3 Feb 2026,18-20 Dec. 2025,18-20 Dec. 2025,IEEE,IEEE Conferences
ResQConnect: Agentic AI for Human-Centered Disaster Response Systems,S. Aththanayake; C. Mallikarachchi; S. Kugarajah; J. Wickramasinghe,"Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Dept. of Computer Science and Engineering, University of Moratuwa, Sri Lanka",2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),12 Jan 2026,2025,,,1,6,,979-8-3315-6123-9,10.1109/SLAAI-ICAI68534.2025.11318466,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11318466,Disaster management;Emergency response;Language models;Multi-agent;Retrieval-augmented,Surveys;Technological innovation;Disasters;Retrieval augmented generation;Disaster management;Emergency services;Human in the loop;Real-time systems;Resource management;Usability,,1.0,,19.0,IEEE,12 Jan 2026,19-21 Nov. 2025,19-21 Nov. 2025,IEEE,IEEE Conferences
Web Log Anomaly Detection via Multi-Agent RAG,Q. Hao; X. Wang,"School of Computer Science, Xi’an Shiyou University, Xi’an, China; School of Computer Science, Xi’an Shiyou University, Xi’an, China",2026 7th International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),29 Jul 2026,2026,,,393,396,,979-8-3195-4190-1,10.1109/ICBASE70763.2026.11619482,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11619482,Web Log Anomaly Detection;Large Language Models (LLMs);Retrieval-Augmented Generation (RAG);Multi-Agent Game;Explainability,Modeling;Retrieval augmented generation;Printing;Large language models;Anomaly detection;Architecture;Computer architecture;Conferences;Glass box;Games,,,,17.0,IEEE,29 Jul 2026,12-14 June 2026,12-14 June 2026,IEEE,IEEE Conferences
QuickAid: A Hybrid RAG and LLM Framework for Improving Chatbot Accuracy and Relevance in First-Aid Guidance,D. Shikha; S. Bansal; A. Raman; S. Sharma,"CSE Department, Amity University Uttar Pradesh, Noida, India; CSE Department, Amity University Uttar Pradesh, Noida, India; CSE Department, Amity University Uttar Pradesh, Noida, India; CSE Department, Amity University Uttar Pradesh, Noida, India",2025 International Conference on Computing and Communication Technologies (ICCCT),10 Jun 2025,2025,,,1,5,2995-3197,979-8-3315-3757-9,10.1109/ICCCT63501.2025.11019682,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11019682,Retrieval-Augmented Generation (RAG);Large Language Models (LLMs);FAISS-based Similarity Search;Sen-tenceTransformer Embeddings;Groq LLaMA3 Model,Accuracy;Hospitals;Large language models;Computational modeling;Retrieval augmented generation;Chatbots;Real-time systems;Hybrid power systems;Time factors;Speech to text,,3.0,,10.0,IEEE,10 Jun 2025,16-17 April 2025,16-17 April 2025,IEEE,IEEE Conferences
LLM and MCP Enabled AI Agent for Autonomous Multi-Lingual Alerts for Coastal Communities,S. Anand; A. M. A. Sai; A. D. Varma; S. N. Rao; A. Montresor; M. V. Ramesh,"Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham, Amritapuri, India; Software Development Engineer, Fridayy AI, Noida, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Information Engineering and Computer Science, University of Trento, Trento, Italy; Center for Wireless Networks & Applications (WNA), Amrita Vishwa Vidyapeetham, Amritapuri, India",2025 IEEE 4th International Conference for Advancement in Technology (ICONAT),30 Jan 2026,2025,,,1,8,,979-8-3315-9573-9,10.1109/ICONAT66879.2025.11362367,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11362367,Voice Alerts;Autonomous system;AI Agents;Model Context Protocol;Disaster Alerts;Resilience,Protocols;Autonomous systems;Social networking (online);Disasters;Sea measurements;Prototypes;Cognition;Multilingual;Resilience;Context modeling,,,,24.0,IEEE,30 Jan 2026,19-21 Sept. 2025,19-21 Sept. 2025,IEEE,IEEE Conferences
Equity-Aware Peer-to-Peer Energy Trading Market to Mitigate Energy Poverty: An LLM – RL Agentic Workflow,Q. Ma; Z. Liu; X. Liu; Z. Zhu; S. Bu,"School of Electrical and Electronics Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronics Engineering, North China Electric Power University, Beijing, China; School of Electrical and Computer Engineering, The University of Sydney, Sydney, NSW, Australia; Department of Electrical and Electronic Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Department of Electrical and Electronic Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China","IEEE Transactions on Energy Markets, Policy and Regulation",15 Jun 2026,2026,4,2.0,259,273,2771-9626,,10.1109/TEMPR.2025.3633992,Paulette Isabel Jones Career Development Award in The University of Sydney; Fundamental Research Funds for the Central Universities in North China Electric Power University(grant numbers:2025JC004); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250957,Large language model (LLM);agentic workflow;energy equity;peer-to-peer transaction;multi-agent reinforcement learning;carbon emission allowance,Peer-to-peer computing;Decision making;Socioeconomics;Reinforcement learning;Prevention and mitigation;Large language models;Agentic AI;Multi-agent systems;Carbon emissions,,2.0,,52.0,IEEE,17 Nov 2025,June 2026,,IEEE,IEEE Journals
D-RAM: A Dynamic Role-Allocation Mediator for Improving Token Efficiency in Multi-Agent Collaborative Software Development,Z. Chen; H. Zhen; Z. Zhu; J. Jiang; M. Kong; X. Gu,"Hangzhou Dianzi University, Hangzhou, China; Hangzhou Dianzi University, Hangzhou, China; Hangzhou Dianzi University, Hangzhou, China; Hangzhou Dianzi University, Hangzhou, China; Hangzhou Dianzi University, Hangzhou, China; Hangzhou Dianzi University, Hangzhou, China","2026 IEEE 8th International Conference on Communications, Information System and Computer Engineering (CISCE)",11 May 2026,2026,,,1350,1353,2833-2423,979-8-3315-6042-3,10.1109/CISCE69494.2026.11504945,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11504945,Multi-Agent Systems;Conflict Mediation;Semantic Friction Score;Dynamic Routing;Reasoning Deadlock;Large Language Models,Protocols;Routing;Routing protocols;Communication systems;HTTP;Artificial intelligence;Cognitive systems;Generative Pre-trained transformer;Large language models;Logic,,,,12.0,IEEE,11 May 2026,27-29 March 2026,27-29 March 2026,IEEE,IEEE Conferences
A LLM-Based Platform for Flood Risk Education and Weather Alerts in SIDS,L. Addison; A. Hosang; T. -A. Tuitt; K. Manohar; P. Hosein,"University Office of Planning, The University of the West Indies, St. Augustine, Trinidad and Tobago; Department of Computing and Information Technology, The University of the West Indies, St. Augustine, Trinidad and Tobago; Department of Computing and Information Technology, The University of the West Indies, St. Augustine, Trinidad and Tobago; Department of Computing and Information Technology, The University of the West Indies, St. Augustine, Trinidad and Tobago; Department of Computing and Information Technology, The University of the West Indies, St. Augustine, Trinidad and Tobago","2024 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",19 Feb 2025,2024,,,1,6,2159-5119,979-8-3503-6735-5,10.1109/ICTMOD63116.2024.10878134,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10878134,flood risk education;SIDS;machine learning;large language model (LLM);climate resilience;weather alerts,Accuracy;Technology management;Large language models;Retrieval augmented generation;Standards organizations;Disaster management;Organizations;Real-time systems;Floods;Meteorology,,4.0,,19.0,IEEE,19 Feb 2025,4-6 Nov. 2024,4-6 Nov. 2024,IEEE,IEEE Conferences
A Modular Multi-Agent Framework for Trip Planning Using Agentic-AI and Google ADK,D. Tarun; S. Karthika; S. Aniruddh,"School of Computer Science and Engineering, Vellore Institute of Technology, Chennai Campus; School of Computer Science and Engineering, Vellore Institute of Technology, Chennai Campus; School of Computer Science and Engineering, Vellore Institute of Technology, Chennai Campus",2025 International Conference on Emerging Research in Computational Science (ICERCS),1 Jul 2026,2025,,,1,6,,979-8-3315-4789-9,10.1109/ICERCS65898.2025.11580555,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11580555,multi-agent systems;trip planning;Google ADK;conversational AI;persistent storage;rollback mechanism;agent orchestration,Planning;Modeling;Printing;Timing;Large language models;Electronic mail;Fluid flow;Management;Design methodology,,,,17.0,IEEE,1 Jul 2026,11-13 Dec. 2025,11-13 Dec. 2025,IEEE,IEEE Conferences
Structured Prompting and Heterogeneous LLM Multi-Agent Framework for Financial Sentiment Analysis,A. S. Pavel; S. Akhter; A. Mony; Ataullha; M. A. Rahaman,"Department of Computer Science and Engineering, Green University of Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, Green University of Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, Green University of Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, Green University of Bangladesh, Dhaka, Bangladesh; Department of Computer Science and Engineering, Bangladesh University of Business and Technology, Dhaka, Bangladesh",2025 International Conference on Sustainable Technology and Engineering (i-COSTE),14 Apr 2026,2025,,,1,6,,979-8-3315-8316-3,10.1109/i-COSTE68047.2025.11467509,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11467509,Financial Sentiment Analysis;Large Language Models;Heterogeneous Agents;Agentic AI;Confidence Scoring;HAD Framework;Tiered LLM;Open-source LLMs;Custom dataset,Recommender systems;Information filtering;Product development;Electronic mail;Protocols;HTTP;Amplitude shift keying;Graphical user interfaces;LoRa;Telephone sets,,,,29.0,IEEE,14 Apr 2026,2-4 Dec. 2025,2-4 Dec. 2025,IEEE,IEEE Conferences
