source,source_record_id,openalex_id,doi,title,year,doc_type,language,peer_reviewed,venue,authors,search_id
openalex,W4403735583,W4403735583,10.3390/buildings14113367,Advanced Digital Technologies in the Post-Disaster Reconstruction Process—A Review Leveraging Small Language Models,2024,article,en,True,Buildings,Ankit Rawat; Emlyn Witt; Mohamad Louay Roumyeh; Irene Lill,OA_q1
openalex,W7147025616,W7147025616,10.4995/carma2025.2025.20436,Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,2025,conference-paper,,True,,David Hanny; Sebastian Schmidt; Shaily Gandhi; Bernd Resch,OA_q1
openalex,W7160283634,W7160283634,10.1109/aiei69164.2026.11496917,CoSV: A Chain of Structured Verification for Disaster Information Extraction Using Small Language Models,2026,conference-paper,,True,,Rohit Ghosal; Asif Iqbal Middya; Sarbani Roy,OA_q1|OA_q41|OA_q46|OA_q47
openalex,W4417148128,W4417148128,10.70315/uloap.ulirs.2025.0204012,Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization,2025,article,,True,Universal Library of Innovative Research and Studies,Vamshi Paili,OA_q1|OA_q2
openalex,W7166854272,W7166854272,10.1007/978-3-032-22500-9_1,"Tiny Models, Tough Limits: Benchmarking and Optimizing Small Language Models for Edge Deployment",2026,conference-paper,en,True,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",Alex Pissinou Makki; Luis Lago Enamorado; Claudia Saleem; Mostafa ElShabasy; Niki Pissinou,OA_q1
openalex,W7162750219,W7162750219,10.32604/cmc.2026.081652,Knowledge Graph-Driven Training Data Construction for Urban Flood-Traffic Scenario Generation Using Small Language Models,2026,article,en,True,"Computers, materials & continua/Computers, materials & continua (Print)",박근휘; Juneyoung Park; Chunjoo Yoon; Jaehong Park,OA_q1
openalex,W7124158958,W7124158958,10.5281/zenodo.18234130,Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,2025,preprint,,False,Zenodo (CERN European Organization for Nuclear Research),David Hanny; Sebastian Schmidt; Shaily Gandhi; Bernd Resch,OA_q1
openalex,W7124143527,W7124143527,10.5281/zenodo.18234131,Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,2025,preprint,,False,Zenodo (CERN European Organization for Nuclear Research),David Hanny; Sebastian Schmidt; Shaily Gandhi; Bernd Resch,OA_q1
openalex,W7118020490,W7118020490,10.1007/978-3-032-12773-0_17,Leveraging Large Language Models to Address Communication and Misinformation Challenges to Enhance Information Coordination in Disaster Relief Operations,2026,conference-paper,en,True,Communications in computer and information science,Daria Shcherbak; Helen Muncie,OA_q1|OA_q3|OA_q41|OA_q6
openalex,W7158640018,W7158640018,10.48550/arxiv.2604.26597,Translating Under Pressure: Domain-Aware LLMs for Crisis Communication,2026,preprint,,False,arXiv (Cornell University),Antonio Castaldo; Maria Carmen Staiano; Johanna Monti; Sheila Castilho; Francesca Chiusaroli,OA_q1|OA_q2|OA_q3
openalex,W7159734216,W7159734216,,Translating Under Pressure: Domain-Aware LLMs for Crisis Communication,2026,preprint,,False,arXiv (Cornell University),Antonio Castaldo; Maria Carmen Staiano; Johanna Monti; Sheila Castilho; Francesca Chiusaroli,OA_q1|OA_q2|OA_q3
openalex,W7129328134,W7129328134,10.48550/arxiv.2602.13229,Pocket RAG: On-Device RAG for First Aid Guidance in Offline Mobile Environment,2026,preprint,,False,arXiv (Cornell University),Dong Hyuk Kang; Hyunjoon Lee; Hyeonjeong Cha; Minkyu Choi; Sungsoo Lim,OA_q1
openalex,W7130236478,W7130236478,,Pocket RAG: On-Device RAG for First Aid Guidance in Offline Mobile Environment,2026,preprint,,False,arXiv (Cornell University),Dong Hyuk Kang; Hyunjoon Lee; Hyeonjeong Cha; Minkyu Choi; Sungsoo Lim,OA_q1
openalex,W7163221175,W7163221175,10.1109/icaiset66439.2026.11542056,Digital Sovereignty Beyond the Cloud: An Edge AI Framework for Small Island Developing States,2026,conference-paper,,True,,Mohamed Shareef,OA_q1
openalex,W7168289904,W7168289904,10.5281/zenodo.21357525,Offline Emergency Alerts Using Compressed Broadcast Codes and On-Device AI,2026,preprint,en,False,Zenodo (CERN European Organization for Nuclear Research),Rashika Kaushal Jain,OA_q1|OA_q2
openalex,W7168305890,W7168305890,10.5281/zenodo.21357524,Offline Emergency Alerts Using Compressed Broadcast Codes and On-Device AI,2026,preprint,en,False,Zenodo (CERN European Organization for Nuclear Research),Rashika Kaushal Jain,OA_q1|OA_q2
openalex,W7163134772,W7163134772,10.1109/icaiset66439.2026.11541396,Resilient Edge Intelligence: Integrating Swarm Logic with Lightweight Agents and Localised SLMs,2026,conference-paper,,True,,Antony Lees,OA_q1
openalex,W7106500053,W7106500053,10.48448/5f3c-gq60,AI & Sustainability,2025,other,,True,Underline Science Inc.,"Association for Artificial Intelligence 2025; Horvitz, Eric; Kitano, Hiroaki; Rossi, Francesca; Russell, Stuart",OA_q1|OA_q41
openalex,W4411111545,W4411111545,10.1016/j.neunet.2025.107625,Collaborate large and small language models for multi-modal emergency rumor detection,2025,article,en,True,Neural Networks,Youcheng Yan; Jinshuo Liu; Juan Deng; Junyan Li; Lina Wang; Jeff Z. Pan,OA_q2|OA_q42
openalex,W4415314389,W4415314389,10.48550/arxiv.2510.06263,Dual-stage and Lightweight Patient Chart Summarization for Emergency Physicians,2025,preprint,en,False,arXiv (Cornell University),"Jiajun Wu; Zaidi, Swaleh; Braden Teitge; Henry Leung; Jiayu Zhou; Jessalyn K. Holodinsky; Steve Drew",OA_q2
openalex,W4408146330,W4408146330,10.1109/icmla61862.2024.00037,Intelligent Fall Detection and Emergency Response for Smart Homes Using Language Models,2024,conference-paper,en,True,,W.K.M Mithsara; Abdur R. Shahid; Ning Yang,OA_q2
openalex,W4416814762,W4416814762,10.1093/jamiaopen/ooaf157,Span-based annotation framework for LLM-based clinical named entity recognition: development and validation using Korean emergency department notes,2025,article,en,True,JAMIA Open,Eun Hye Jang; Javier Aguirre; Sangji Lee; Hyeyoon Moon; Won Chul Cha,OA_q2|OA_q42
openalex,W4414970983,W4414970983,10.48550/arxiv.2510.04032,Small Language Models for Emergency Departments Decision Support: A Benchmark Study,2025,preprint,en,False,arXiv (Cornell University),Z. Wang; Jiajun Wu; Braden Teitge; Jessalyn K. Holodinsky; Steve Drew,OA_q2|OA_q42
openalex,W7130731173,W7130731173,10.1109/swc65939.2025.00239,Small Language Models for Emergency Departments Decision Support: A Benchmark Study,2025,conference-paper,,True,,Z. Wang; Jiajun Wu; Braden Teitge; Jessalyn K. Holodinsky; Steve Drew,OA_q2|OA_q42
openalex,W7163577516,W7163577516,10.1371/journal.pone.0350770,Performance and safety of a fine-tuned small language model for pediatric emergency triage: A benchmark study,2026,article,en,True,PLoS ONE,Eui Jun Lee; Jae Yun Jung; Do Kyun Kim; Joong Wan Park; Young Ho Kwak,OA_q2
openalex,W7202244585,W7202244585,10.48550/arxiv.2608.10273,Locally Deployable Small Language Models for Emergency Department Decision Support: A Systematic Benchmark of Fine-Tuning Strategies,2026,preprint,,False,arXiv (Cornell University),Qingfeng Zhang; Yuanxiong Guo; Yanmin Gong,OA_q2|OA_q42
openalex,W7164749629,W7164749629,10.1016/j.neunet.2026.109233,"Corrigendum to “Collaborate Large and Small Language Models for Multi-Modal Emergency Rumor Detection” [Neural Networks 190, 2025, 107625]",2026,erratum,en,True,Neural Networks,Youcheng Yan; Jinshuo Liu; Juan Deng; Junyan Li; Lina Wang; Jeff Z. Pan,OA_q2
openalex,W7159733836,W7159733836,,Domain-Adapted Small Language Models for Reliable Clinical Triage,2026,preprint,,False,arXiv (Cornell University),Manar Aljohani; Brandon Ho; Kenneth McKinley; Dennis Ren; Xuan Wang,OA_q2|OA_q42
openalex,W7158937755,W7158937755,10.48550/arxiv.2604.26766,Domain-Adapted Small Language Models for Reliable Clinical Triage,2026,preprint,,False,arXiv (Cornell University),Manar Aljohani; Brandon Ho; Kenneth McKinley; Dennis Ren; Xuan Wang,OA_q2|OA_q42
openalex,W7147670436,W7147670436,10.34133/csbj.0064,End-to-End Pipeline Integrating Local Small Language Models and Machine Learning for Data Extraction and Stroke Outcome Prediction in Emergency Department,2026,article,en,True,Computational and Structural Biotechnology Journal,Junsu Kim; Ji Hoon Kim; Arom Choi,OA_q2
openalex,W4417131711,W4417131711,10.1109/bhi67747.2025.11269507,Personalized Case- and Evidence-Based TBI Prognosis with Small Language Models,2025,conference-paper,en,True,,Pranav Manjunath; Syed M. Adil; Benjamin D. Wissel; Daniel P. Sexton; Brian Lerner; Timothy Dunn,OA_q2|OA_q42
openalex,W7160332441,W7160332441,10.64898/2026.05.04.26352355,Solving Emergency Department Triage with Small Language Models: Why Large Commercial Models Fail and How Specialized Training Achieves Clinical Accuracy,2026,preprint,,False,medRxiv,Vadim Belski; Kate Lukina,OA_q2
