Document Title,Authors,Source,Year,Citations
A survey of large language models for urban traffic signal control,"Wu Y., Luo C., Wang J., ... Jiang Y., Yao Z.","Expert Systems with Applications , 330, 132998",2026,0
Design of an integrated federated large language models for semantic reasoning and self-organizing 6G networks,"Mittal P., Sharma S., Solanki S., ... Haripriya R., Beg R.","Discover Artificial Intelligence , 6(1), 584",2026,1
Towards higher quality and fewer hallucinations: A multi-agent collaboration framework for LLMs,"Shen S., Sun D., Qin Z., ... Huang Z., Wang S.","Information Processing and Management , 63(8), 104953",2026,0
Disaster Storylines and Knowledge Graphs from Global News with Large Language Models and Retrieval-Augmented Generation,"Ronco M., Bandelli L., Bertolini L., ... Verile M., Corbane C.","Scientific Data , 13(1), 689",2026,3
Retrieval‑augmented large language models for depression screening and suicide risk stratification,"Xie W., Song X., Lu Z., ... De X., Zhu B.","BMC Psychiatry , 26(1), 386",2026,3
DispatchMAS: fusing taxonomy and artificial intelligence agents for emergency medical services,"Li X., Yu H., Wang W., ... Li L., Fan L.","BMC Emergency Medicine , 26(1), 78",2026,0
Adaptive retrieval-augmented evidence-fusion for highly heterogeneous temporal entity alignment,"Wu W., Xu K., Zhao R., ... Zeng W., Tang J.","Information Fusion , 136, 104516",2026,0
AIDx: a locally deployable AI system for physician clinical decision support,Alwakeel A.,"Scientific Reports , 16(1), 18172",2026,0
Design and classify innovative antimicrobial and dual- and multi-functional peptides using generative artificial intelligence,"Sowers A., Wang J., Hu G., Xing M., Li B.","Scientific Reports , 16(1), 23365",2026,0
Improving portability of knowledge-based planning using an LLM-driven plan refinement framework in lung radiotherapy,"Wang Z., Guo H., Lei Y., ... Xia J., Zhang J.","Medical Physics , 53(9)",2026,0
Agentic cognitive orchestration for cross-lingual patent intelligence: A modular workflow automation approach,"Wang H.-Y., Ke H.-R.","World Patent Information , 86, 102483",2026,0
"When algorithms triage trauma: Diagnostic accuracy, undertriage risk, and prompt fragility in frontier large language models","Caliskan Y.K., Basak F., Erdem O.","Surgery , 196",2026,0
Component-Level Contributions of Retrieval-Augmented LLM Post-Processing in Streaming Anomaly Detection: A Matched-Operating-Point Case Audit,Baek C.,"Sensors , 26(16), 5246",2026,0
DRAFT-LLM: Retrieval-augmented frequency alignment with frozen large language models for cross-domain air-quality forecasting in enclosed sheep barns,"Wang M., You X., Zhang C., ... Shen W., Gu Z.","Smart Agricultural Technology , 14, 102124",2026,0
"ICG-Restore: Intent-Constrained, Graph-Enhanced LLM Planning with Minimal-Edit Repair for Post-Disaster Emergency Communication Recovery","Bai J., Zhu W., Wang X., ... Xu L., Zhong Y.","AI Switzerland , 7(8), 294",2026,0
Lightweight graph retrieval-augmented generation agent for safety monitoring digital twins in small- and medium-scale hydropower projects,"Shao C., Qin X., Li X., ... Yuan D., Zheng S.","Automation in Construction , 188, 107041",2026,1
Agentic AI Safety: A Structured Review of Open Problems and Their Regulatory Anchoring,"Valenta T., Rozinek O., Horalek J.","AI Switzerland , 7(8), 298",2026,0
JW-ASTClaw: A Generalizable Multi-agent Framework for Autonomous Solar Telescope and Its Implementation within Chinese Meridian Project,"Tong L.-Y., Lin J.-B., Deng Y.-Y., ... Wang H., Yang C.","Research in Astronomy and Astrophysics , 26(8), 085014",2026,0
Development of consensus-based rules for AI-assisted Clinical Trial Agreement review: a Delphi study,"Li Y., Wang J., Guo Q., ... Liang J., Cao Y.","Journal of Medical Artificial Intelligence , 9, 59",2026,0
NuggetIndex: Governed Atomic Retrieval for Maintainable RAG,"Zerhoudi S., Granitzer M., Mitrovic J.",SIGIR 2026 Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,2026,0
Probe-then-Plan: Environment-Aware Planning for Industrial E-commerce Search,"Chen M., Zhai Z., Li J.",SIGIR 2026 Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,2026,0
An Agentic Framework for Triaging Incidents in Production Cloud Infrastructure,"Yao Y., Jiang Y., Ma M., ... Li Z., Chintalapati M.",Fse Companion 2026 Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,2026,0
